,lat,lon,country,rp10,rp100,kg
CH_000045,46.4011099958233,6.22778,CH,-37.1411549634794,-48.7218258321183,Oceanic
CH_000052,46.2005599957541,8.79167,CH,-55.0263982505425,-56.5867392130902,Alpine & subarctic
CH_000056,46.4180599958292,9.82111,CH,-14.6835056216513,-26.6446725994297,Alpine & subarctic
CH_000059,46.8130599959625,9.84361,CH,-30.5431473299343,-33.4735983621559,Alpine & subarctic
CH_000063,46.4247199958314,6.09944,CH,-41.4065765909576,-41.6663522365375,Oceanic
CH_000072,46.1122199957233,7.50861,CH,-13.1574850982273,-30.0690875233069,Alpine & subarctic
CH_000073,47.4238899961613,6.94111,CH,-57.2474661123166,-60.4379856826612,Humid continental
CH_000079,46.8405599959717,6.57639,CH,-61.6068988314547,-67.1411381443612,Humid continental
CH_000084,47.0347199960357,9.06694,CH,-50.8787554807842,-55.4350207166554,Alpine & subarctic
CH_000092,45.8688899956374,7.17083,CH,-65.4898625098108,-74.5159005983121,Alpine & subarctic
CH_000095,46.6524999959088,8.615,CH,-37.8847843520174,-44.6822975433844,Alpine & subarctic
CH_000096,47.6016699962174,9.27944,CH,-56.9436368339146,-61.3159430087075,Humid continental
CH_000097,46.2474999957704,6.12778,CH,-30.4774036027277,-29.417849105955,Humid continental
CH_000105,46.6722199959154,7.87028,CH,-51.6999890556359,-59.9360858314107,Alpine & subarctic
CH_000109,47.479719996179,8.53583,CH,-58.9266891315641,-63.7011081337203,Humid continental
CH_000122,46.0041699956853,8.96028,CH,-48.5335954460369,-49.7215209666243,Oceanic
