"","station_id","lat","lon","country","years","location","scale","shape","index","rp10","rp30","rp100","kg","cluster","distance","n_gauges","record_len","start","end","rp10_vs_PXR2","rp100_vs_PXR2"
"415","AU_001600",-36.4377999913765,145.2672,"AU",652,0.7812483919844,0.281735768844559,0.169322753564368,25.5,39.6,52.7,69.9,"Humid subtropical",33,200,19,55.14499,"1960-07-09 08:00:00","2015-09-01 00:00:00",3.6068828942025,-21.9260732475297
"416","AU_001605",-36.6283999914748,144.8727,"AU",652,0.7812483919844,0.281735768844559,0.169322753564368,30.1,46.8,62.3,82.6,"Oceanic",33,200,19,40.90794,"1974-08-03 10:00:00","2015-07-01 00:00:00",-0.978159995405913,-17.0502309486283
"417","AU_001606",-36.739499991532,144.3266,"AU",652,0.7812483919844,0.281735768844559,0.169322753564368,25.3,39.3,52.3,69.4,"Oceanic",33,200,19,22.75245,"1992-09-28 17:00:00","2015-07-01 00:00:00",NA,NA
"418","AU_001610",-30.8407999885523,116.7267,"AU",539,0.785977462724679,0.279337339495194,0.161955378459848,23.2,35.8,47.3,62.4,"Arid hot",8,540,14,62.58077,"1952-05-02 10:00:00","2014-12-01 00:00:00",NA,NA
"419","AU_001613",-36.2002999912539,147.8956,"AU",159,0.775277524828796,0.322752476221469,0.108215091762547,25.4,40.5,53.1,68.5,"Oceanic",176,920,6,34.10746,"1972-02-21 07:00:00","2006-04-01 00:00:00",24.2706451092872,1.53705063470154
"420","AU_001614",-36.7544999915397,145.5727,"AU",279,0.855906115714426,0.242667212179566,0.0165054031567704,29.4,41.5,50,59.3,"Humid subtropical",121,80,8,47.71926,"1967-12-12 14:00:00","2015-09-01 00:00:00",-18.0103378045955,-36.632103451895
"421","AU_001617",-36.1046999912045,146.5094,"AU",195,0.791664953807985,0.28958815649134,0.126727223737701,27.6,42.7,55.7,71.8,"Oceanic",117,260,5,39.107,"1975-02-21 05:00:00","2014-04-01 00:00:00",NA,NA
"422","AU_001618",-36.8471999915874,145.7308,"AU",279,0.855906115714426,0.242667212179566,0.0165054031567704,31,43.7,52.7,62.4,"Oceanic",121,80,8,41.57187,"1974-01-03 22:00:00","2015-08-01 00:00:00",-6.43162702447042,-30.4844580410421
"423","AU_001619",-36.5352999914268,147.4984,"AU",414,0.812395850759879,0.273168878468845,0.10040068444228,30.1,45.2,57.6,72.5,"Oceanic",133,360,14,39.74983,"1975-07-01 10:00:00","2015-04-01 00:00:00",NA,NA
"424","AU_001620",-36.8549999915914,146.0046,"AU",279,0.855906115714426,0.242667212179566,0.0165054031567704,30.9,43.6,52.5,62.2,"Oceanic",121,80,8,46.94296,"1968-07-21 03:00:00","2015-07-01 00:00:00",11.8327670916327,-13.7429266609225
"425","AU_001621",-36.3499999913313,146.3417,"AU",195,0.791664953807985,0.28958815649134,0.126727223737701,25.7,39.7,51.7,66.7,"Oceanic",117,260,5,35.49247,"1958-06-04 10:00:00","1993-12-01 00:00:00",15.3892555643429,-6.41277257648465
"426","AU_001625",-36.4205999913677,146.3056,"AU",195,0.791664953807985,0.28958815649134,0.126727223737701,32.3,49.9,65.1,84,"Oceanic",117,260,5,26.63666,"1987-05-14 00:00:00","2014-01-01 00:00:00",NA,NA
"427","AU_001630",-28.3516999874659,114.5778,"AU",324,0.733216608138936,0.355024434971729,0.151158698121912,25.2,42.4,57.9,77.8,"Mediterranean",104,640,10,15.91558,"1974-03-03 21:00:00","1990-02-01 00:00:00",NA,NA
"428","AU_001636",-37.3013999918202,146.1406,"AU",743,0.813068026378424,0.260616177835276,0.12503965308864,31.4,46.8,60.1,76.5,"Oceanic",106,140,22,29.86687,"1974-04-19 04:00:00","2004-03-01 00:00:00",NA,NA
"429","AU_001637",-37.1010999917177,147.598,"AU",743,0.813068026378424,0.260616177835276,0.12503965308864,24,35.8,46,58.5,"Oceanic",106,140,22,25.91821,"1985-03-30 10:00:00","2011-03-01 00:00:00",NA,NA
"430","AU_001638",-36.751299991538,146.4156,"AU",279,0.855906115714426,0.242667212179566,0.0165054031567704,32.9,46.5,56,66.4,"Oceanic",121,80,8,29.16256,"1962-10-02 10:00:00","1991-12-01 00:00:00",NA,NA
"431","AU_001645",-36.7312999915278,146.9614,"AU",414,0.812395850759879,0.273168878468845,0.10040068444228,31.5,47.3,60.3,75.9,"Oceanic",133,360,14,25.62195,"1969-06-18 15:00:00","1995-02-01 00:00:00",NA,NA
"432","AU_001653",-36.739599991532,146.4671,"AU",279,0.855906115714426,0.242667212179566,0.0165054031567704,35.3,49.9,60,71.2,"Oceanic",121,80,8,23.76534,"1991-11-25 18:00:00","2015-09-01 00:00:00",NA,NA
"433","AU_001658",-37.4954999919192,148.176,"AU",743,0.813068026378424,0.260616177835276,0.12503965308864,26.2,39.1,50.2,63.9,"Oceanic",106,140,22,52.82854,"1962-10-02 10:00:00","2015-08-01 00:00:00",-27.0822605180841,-47.2029344777401
"434","AU_001659",-37.3756999918581,147.8373,"AU",743,0.813068026378424,0.260616177835276,0.12503965308864,27.7,41.2,52.8,67.3,"Oceanic",106,140,22,43.44125,"1972-02-21 03:00:00","2015-08-01 00:00:00",5.01186518606447,-21.5208785160215
"435","AU_001661",-37.691699992019,148.4589,"AU",743,0.813068026378424,0.260616177835276,0.12503965308864,31.1,46.4,59.5,75.8,"Oceanic",106,140,22,17.70614,"1994-04-17 21:00:00","2012-01-01 00:00:00",NA,NA
